STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE, IDPs , HHs ,  Aj Jazirah ,  Central Darfur ,  East Darfur ,  Khartoum ,  North Darfur ,  North Kordofan ,  South Darfur ,  South Kordofan ,  West Darfur ,  SUDANESE , NON SUDANESE
Khartoum,SD01,Jebel Awlia,SD01001," 4,590 ", 710 , -   , -   , -   ," 4,590 ", -   , -   , -   , -   , -   ," 4,465 ",125
Khartoum,SD01,Karrari,SD01005," 9,743 "," 1,949 ", -   , -   , -   ," 9,743 ", -   , -   , -   , -   , -   ," 9,708 ",35
Khartoum,SD01,Khartoum,SD01007," 1,345 ", 269 , -   , -   , -   ," 1,345 ", -   , -   , -   , -   , -   ," 1,345 ",0
Khartoum,SD01,Sharg An Neel,SD01004," 5,630 "," 1,126 ", -   , -   , -   ," 5,630 ", -   , -   , -   , -   , -   ," 5,625 ",5
Khartoum,SD01,Um Bada,SD01002," 5,105 "," 1,021 ", -   , -   , -   ," 5,105 ", -   , -   , -   , -   , -   ," 5,080 ",25
Khartoum,SD01,Um Durman,SD01006," 5,785 "," 1,157 ", -   , -   , -   ," 5,785 ", -   , -   , -   , -   , -   ," 5,715 ",70
North Darfur,SD02,Al Fasher,SD02114," 143,383 "," 28,666 ", -   , -   , -   , 400 ," 125,325 ", -   ," 17,658 ", -   , -   ," 143,383 ",0
North Darfur,SD02,Al Koma,SD02116," 4,490 ", 898 , -   , -   , -   , -   ," 4,350 ", -   , 140 , -   , -   ," 4,490 ",0
North Darfur,SD02,Al lait,SD02169," 7,225 "," 1,425 ", -   , 25 , -   ," 4,315 "," 1,751 ", 105 , 994 , -   , 35 ," 7,225 ",0
North Darfur,SD02,Al Malha,SD02117," 3,990 ", 798 , -   , -   , -   , -   ," 3,990 ", -   , -   , -   , -   ," 3,990 ",0
North Darfur,SD02,As Serief,SD02118," 2,200 ", 440 , -   , 335 , -   , -   ," 1,265 ", -   , -   , -   , 600 ," 2,200 ",0
North Darfur,SD02,At Tawisha,SD02119, 725 , 145 , -   , -   , -   , -   , 725 , -   , -   , -   , -   , 725 ,0
North Darfur,SD02,At Tina,SD02171, 570 , 114 , -   , -   , -   , -   , 570 , -   , -   , -   , -   , 570 ,0
North Darfur,SD02,Dar As Salam,SD02113," 16,110 "," 3,222 ", -   , -   , -   , 210 ," 8,745 ", -   ," 7,155 ", -   , -   ," 16,110 ",0
North Darfur,SD02,Kebkabiya,SD02124," 13,405 "," 2,681 ", -   ," 2,970 ", -   ," 1,520 "," 2,400 ", -   ," 1,215 ", -   ," 5,300 "," 13,405 ",0
North Darfur,SD02,Kelemando,SD02126," 8,660 "," 1,732 ", -   , -   , -   ," 1,225 "," 6,115 ", -   ," 1,320 ", -   , -   ," 8,660 ",0
North Darfur,SD02,Kernoi,SD02168," 1,130 ", 226 , -   , -   , -   , -   , 935 , -   , 30 , -   , 165 ," 1,130 ",0
North Darfur,SD02,Kutum,SD02128," 103,650 "," 20,730 ", -   , -   , -   , -   ," 103,650 ", -   , -   , -   , -   ," 103,650 ",0
North Darfur,SD02,Melit,SD02129," 12,820 "," 2,564 ", -   , -   , -   , -   ," 12,725 ", -   , 95 , -   , -   ," 12,820 ",0
North Darfur,SD02,Saraf Omra,SD02133," 16,860 "," 3,372 ", -   ," 4,525 ", -   , 850 , 900 , -   ," 4,285 ", -   ," 6,300 "," 16,860 ",0
North Darfur,SD02,Tawila,SD02170," 92,520 "," 18,504 ", -   , -   , -   , -   ," 92,270 ", -   , 250 , -   , -   ," 92,520 ",0
North Darfur,SD02,Um Baru,SD02120, 890 , 178 , -   , 35 , -   , 35 , 700 , -   , 65 , -   , 55 , 890 ,0
North Darfur,SD02,Um Kadadah,SD02136," 1,420 ", 284 , -   , -   , -   , -   ," 1,420 ", -   , -   , -   , -   ," 1,420 ",0
North Kordofan,SD13,Ar Rahad,SD13030," 29,236 "," 5,760 ", -   , -   , -   ," 29,196 ", -   , 40 , -   , -   , -   ," 29,236 ",0
North Kordofan,SD13,Bara,SD13026," 15,803 "," 3,279 ", -   , -   , -   ," 15,196 ", -   , 607 , -   , -   , -   ," 15,803 ",0
North Kordofan,SD13,Gebrat Al Sheikh,SD13027," 6,256 "," 1,271 ", -   , -   , -   ," 6,256 ", -   , -   , -   , -   , -   ," 6,256 ",0
North Kordofan,SD13,Gharb Bara,SD13029," 7,674 "," 1,464 ", -   , -   , -   ," 5,966 ", -   ," 1,708 ", -   , -   , -   ," 7,674 ",0
North Kordofan,SD13,Sheikan,SD13024," 18,466 "," 3,559 ", -   , -   , -   ," 8,220 ", -   ," 9,168 ", -   ," 1,078 ", -   ," 18,158 ",308
North Kordofan,SD13,Soudari,SD13025," 2,368 ", 427 , -   , -   , -   ," 2,368 ", -   , -   , -   , -   , -   ," 2,368 ",0
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028," 11,449 "," 2,218 ", -   , -   , -   ," 11,449 ", -   , -   , -   , -   , -   ," 11,449 ",0
North Kordofan,SD13,Um Rawaba,SD13023," 28,482 "," 5,431 ", -   , -   , -   ," 27,677 ", -   , 805 , -   , -   , -   ," 28,480 ",2
Northern,SD17,Ad Dabbah,SD17019," 68,493 "," 13,676 ", -   , -   , -   ," 68,493 ", -   , -   , -   , -   , -   ," 68,493 ",0
Northern,SD17,Al Burgaig,SD17016," 40,314 "," 8,174 ", -   , -   , -   ," 40,314 ", -   , -   , -   , -   , -   ," 40,314 ",0
Northern,SD17,Al Golid,SD17018," 40,380 "," 8,076 ", -   , -   , -   ," 40,380 ", -   , -   , -   , -   , -   ," 40,380 ",0
Northern,SD17,Delgo,SD17015," 43,840 "," 8,768 ", -   , -   , -   ," 43,840 ", -   , -   , -   , -   , -   ," 43,840 ",0
Northern,SD17,Dongola,SD17017," 52,391 "," 10,849 ", -   , -   , -   ," 52,391 ", -   , -   , -   , -   , -   ," 51,736 ",655
Northern,SD17,Halfa,SD17014," 39,854 "," 8,024 ", -   , -   , -   ," 39,854 ", -   , -   , -   , -   , -   ," 39,854 ",0
Northern,SD17,Merwoe,SD17020," 67,931 "," 13,695 ", -   , -   , -   ," 67,931 ", -   , -   , -   , -   , -   ," 67,931 ",0
Red Sea,SD10,Haya,SD10070," 2,875 ", 575 , -   , -   , -   ," 2,875 ", -   , -   , -   , -   , -   ," 2,875 ",0
Red Sea,SD10,Jubayt Elma'aadin,SD10067, 135 , 27 , -   , -   , -   , 135 , -   , -   , -   , -   , -   , 135 ,0
Red Sea,SD10,Port Sudan,SD10064," 121,405 "," 24,289 ", -   , -   , -   ," 121,405 ", -   , -   , -   , -   , -   ," 106,452 ",14953
Red Sea,SD10,Sawakin,SD10068," 1,075 ", 215 , -   , -   , -   ," 1,075 ", -   , -   , -   , -   , -   , 805 ,270
Red Sea,SD10,Sinkat,SD10071," 4,020 ", 804 , -   , -   , -   ," 4,020 ", -   , -   , -   , -   , -   ," 4,020 ",0
