DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#adm2+name,#adm2+pcode,#affected+idps+hh,#affected+idps+ind,,,,,,,,,,,,,,
 Northern , SD17 , Dongola , SD17017 ," 55,119 "," 11,035 ", -   , -   , -   ," 55,119 ", -   , -   , -   , -   , -   , -   , -   , -   ," 54,464 ", 655 
 Northern , SD17 , Halfa , SD17014 ," 48,292 "," 9,675 ", 697 , -   , -   ," 47,595 ", -   , -   , -   , -   , -   , -   , -   , -   ," 48,292 ", -   
 Northern , SD17 , Merwoe , SD17020 ," 77,702 "," 15,854 "," 3,450 ", -   , -   ," 73,632 ", -   , -   , 520 , -   , -   , -   , -   , 100 ," 77,702 ", -   
 Red Sea , SD10 , Agig , SD10072 , 210 , 42 , 20 , -   , -   , 190 , -   , -   , -   , -   , -   , -   , -   , -   , 210 , -   
 Red Sea , SD10 , Al Ganab , SD10069 , 225 , 45 , 57 , -   , -   , 75 , 15 , 25 , 13 , 40 , -   , -   , -   , -   , 225 , -   
 Red Sea , SD10 , Dordieb , SD10063 ," 1,130 ", 224 , 225 , -   , -   , 895 , -   , -   , -   , 10 , -   , -   , -   , -   ," 1,107 ", 23 
 Red Sea , SD10 , Hala'ib , SD10066 , 600 , 120 , 105 , -   , -   , 465 , 10 , 15 , -   , 5 , -   , -   , -   , -   , 600 , -   
 Red Sea , SD10 , Haya , SD10070 ," 1,210 ", 242 , 400 , -   , -   , 810 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,210 ", -   
 Red Sea , SD10 , Jubayt Elma'aadin , SD10067 , 345 , 69 , 10 , -   , -   , 300 , 15 , 10 , -   , -   , 10 , -   , -   , -   , 345 , -   
 Red Sea , SD10 , Port Sudan , SD10064 ," 230,701 "," 46,520 "," 62,352 ", 64 , -   ," 148,527 "," 5,066 "," 5,160 "," 2,271 "," 3,086 "," 3,089 ", 191 , -   , 895 ," 215,863 "," 14,838 "
 Red Sea , SD10 , Sawakin , SD10068 ," 5,647 "," 1,130 ", 935 , -   , -   ," 4,532 ", 25 , 80 , 35 , 20 , 15 , 5 , -   , -   ," 5,222 ", 425 
 Red Sea , SD10 , Sinkat , SD10071 ," 7,186 "," 1,437 "," 1,418 ", 75 , -   ," 4,628 ", 130 , 235 , 45 , 287 , 183 , 185 , -   , -   ," 7,186 ", -   
