State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
Northern,SD17,399867,80305,399136,731,2024,Apr,North Kordofan,0,SD13
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,North Kordofan,5535,SD13
River Nile,SD16,698334,137799,698106,228,2024,Apr,North Kordofan,45,SD13
Sennar,SD14,523986,104002,523986,0,2024,Apr,North Kordofan,0,SD13
South Darfur,SD03,744243,148848,744243,0,2024,Apr,North Kordofan,0,SD13
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,North Kordofan,5915,SD13
West Darfur,SD04,174540,34908,174540,0,2024,Apr,North Kordofan,0,SD13
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,North Kordofan,10599,SD13
White Nile,SD09,532643,105920,442949,89694,2024,Apr,North Kordofan,269,SD13
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,Sennar,120,SD14
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,Sennar,1235,SD14
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,Sennar,0,SD14
East Darfur,SD05,660140,131918,660140,0,2024,Apr,Sennar,0,SD14
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,Sennar,0,SD14
Kassala,SD11,200083,40282,196213,3870,2024,Apr,Sennar,0,SD14
Khartoum,SD01,69057,13717,68822,235,2024,Apr,Sennar,0,SD14
North Darfur,SD02,573055,114503,572938,117,2024,Apr,Sennar,0,SD14
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,Sennar,235,SD14
Northern,SD17,399867,80305,399136,731,2024,Apr,Sennar,623,SD14
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,Sennar,2364,SD14
River Nile,SD16,698334,137799,698106,228,2024,Apr,Sennar,0,SD14
Sennar,SD14,523986,104002,523986,0,2024,Apr,Sennar,40719,SD14
South Darfur,SD03,744243,148848,744243,0,2024,Apr,Sennar,0,SD14
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,Sennar,165,SD14
West Darfur,SD04,174540,34908,174540,0,2024,Apr,Sennar,0,SD14
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,Sennar,0,SD14
White Nile,SD09,532643,105920,442949,89694,2024,Apr,Sennar,55,SD14
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,South Darfur,0,SD03
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,South Darfur,175,SD03
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,South Darfur,19355,SD03
East Darfur,SD05,660140,131918,660140,0,2024,Apr,South Darfur,204455,SD03
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,South Darfur,295,SD03
Kassala,SD11,200083,40282,196213,3870,2024,Apr,South Darfur,0,SD03
Khartoum,SD01,69057,13717,68822,235,2024,Apr,South Darfur,0,SD03
North Darfur,SD02,573055,114503,572938,117,2024,Apr,South Darfur,43793,SD03
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,South Darfur,0,SD03
Northern,SD17,399867,80305,399136,731,2024,Apr,South Darfur,0,SD03
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,South Darfur,3448,SD03
River Nile,SD16,698334,137799,698106,228,2024,Apr,South Darfur,50,SD03
Sennar,SD14,523986,104002,523986,0,2024,Apr,South Darfur,0,SD03
South Darfur,SD03,744243,148848,744243,0,2024,Apr,South Darfur,700643,SD03
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,South Darfur,0,SD03
West Darfur,SD04,174540,34908,174540,0,2024,Apr,South Darfur,8605,SD03
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,South Darfur,250,SD03
White Nile,SD09,532643,105920,442949,89694,2024,Apr,South Darfur,0,SD03
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,South Kordofan,0,SD07
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,South Kordofan,1030,SD07
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,South Kordofan,0,SD07
East Darfur,SD05,660140,131918,660140,0,2024,Apr,South Kordofan,0,SD07
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,South Kordofan,0,SD07
Kassala,SD11,200083,40282,196213,3870,2024,Apr,South Kordofan,0,SD07
Khartoum,SD01,69057,13717,68822,235,2024,Apr,South Kordofan,0,SD07
North Darfur,SD02,573055,114503,572938,117,2024,Apr,South Kordofan,0,SD07
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,South Kordofan,4573,SD07
Northern,SD17,399867,80305,399136,731,2024,Apr,South Kordofan,124,SD07
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,South Kordofan,3302,SD07
River Nile,SD16,698334,137799,698106,228,2024,Apr,South Kordofan,30,SD07
Sennar,SD14,523986,104002,523986,0,2024,Apr,South Kordofan,0,SD07
South Darfur,SD03,744243,148848,744243,0,2024,Apr,South Kordofan,0,SD07
