State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
White Nile,SD09,100115,503264,412788,90476,2024,Jan,Aj Jazirah,20928,SD15
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,Central Darfur,0,SD06
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,Central Darfur,0,SD06
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,Central Darfur,230540,SD06
East Darfur,SD05,132146,660830,660830,0,2024,Jan,Central Darfur,0,SD06
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,Central Darfur,0,SD06
Kassala,SD11,33272,166228,162358,3870,2024,Jan,Central Darfur,0,SD06
Khartoum,SD01,8942,44769,44534,235,2024,Jan,Central Darfur,0,SD06
North Darfur,SD02,91975,460188,460140,48,2024,Jan,Central Darfur,7900,SD06
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,Central Darfur,0,SD06
Northern,SD17,80009,402675,401944,731,2024,Jan,Central Darfur,0,SD06
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,Central Darfur,242,SD06
River Nile,SD16,139267,700827,700367,460,2024,Jan,Central Darfur,65,SD06
Sennar,SD14,86848,434627,434627,0,2024,Jan,Central Darfur,0,SD06
South Darfur,SD03,140623,703118,703118,0,2024,Jan,Central Darfur,7365,SD06
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,Central Darfur,0,SD06
West Darfur,SD04,25708,128540,128540,0,2024,Jan,Central Darfur,3450,SD06
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,Central Darfur,0,SD06
White Nile,SD09,100115,503264,412788,90476,2024,Jan,Central Darfur,0,SD06
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,East Darfur,0,SD05
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,East Darfur,0,SD05
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,East Darfur,0,SD05
East Darfur,SD05,132146,660830,660830,0,2024,Jan,East Darfur,73335,SD05
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,East Darfur,0,SD05
Kassala,SD11,33272,166228,162358,3870,2024,Jan,East Darfur,0,SD05
Khartoum,SD01,8942,44769,44534,235,2024,Jan,East Darfur,0,SD05
North Darfur,SD02,91975,460188,460140,48,2024,Jan,East Darfur,30,SD05
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,East Darfur,0,SD05
Northern,SD17,80009,402675,401944,731,2024,Jan,East Darfur,0,SD05
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,East Darfur,0,SD05
River Nile,SD16,139267,700827,700367,460,2024,Jan,East Darfur,0,SD05
Sennar,SD14,86848,434627,434627,0,2024,Jan,East Darfur,0,SD05
South Darfur,SD03,140623,703118,703118,0,2024,Jan,East Darfur,0,SD05
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,East Darfur,0,SD05
West Darfur,SD04,25708,128540,128540,0,2024,Jan,East Darfur,165,SD05
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,East Darfur,5,SD05
White Nile,SD09,100115,503264,412788,90476,2024,Jan,East Darfur,0,SD05
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,Khartoum,196468,SD01
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,Khartoum,120627,SD01
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,Khartoum,1205,SD01
East Darfur,SD05,132146,660830,660830,0,2024,Jan,Khartoum,358630,SD01
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,Khartoum,321078,SD01
Kassala,SD11,33272,166228,162358,3870,2024,Jan,Khartoum,144833,SD01
Khartoum,SD01,8942,44769,44534,235,2024,Jan,Khartoum,44624,SD01
North Darfur,SD02,91975,460188,460140,48,2024,Jan,Khartoum,8725,SD01
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,Khartoum,123637,SD01
Northern,SD17,80009,402675,401944,731,2024,Jan,Khartoum,391507,SD01
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,Khartoum,160317,SD01
River Nile,SD16,139267,700827,700367,460,2024,Jan,Khartoum,684540,SD01
Sennar,SD14,86848,434627,434627,0,2024,Jan,Khartoum,342985,SD01
South Darfur,SD03,140623,703118,703118,0,2024,Jan,Khartoum,16150,SD01
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,Khartoum,65824,SD01
West Darfur,SD04,25708,128540,128540,0,2024,Jan,Khartoum,1899,SD01
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,Khartoum,66199,SD01
White Nile,SD09,100115,503264,412788,90476,2024,Jan,Khartoum,476131,SD01
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,North Darfur,0,SD02
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,North Darfur,0,SD02
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,North Darfur,70785,SD02
East Darfur,SD05,132146,660830,660830,0,2024,Jan,North Darfur,14600,SD02
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,North Darfur,175,SD02
Kassala,SD11,33272,166228,162358,3870,2024,Jan,North Darfur,0,SD02
Khartoum,SD01,8942,44769,44534,235,2024,Jan,North Darfur,0,SD02
North Darfur,SD02,91975,460188,460140,48,2024,Jan,North Darfur,396261,SD02
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,North Darfur,0,SD02
Northern,SD17,80009,402675,401944,731,2024,Jan,North Darfur,0,SD02
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,North Darfur,4972,SD02
River Nile,SD16,139267,700827,700367,460,2024,Jan,North Darfur,50,SD02
Sennar,SD14,86848,434627,434627,0,2024,Jan,North Darfur,0,SD02
South Darfur,SD03,140623,703118,703118,0,2024,Jan,North Darfur,10145,SD02
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,North Darfur,0,SD02
West Darfur,SD04,25708,128540,128540,0,2024,Jan,North Darfur,311,SD02
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,North Darfur,844,SD02
White Nile,SD09,100115,503264,412788,90476,2024,Jan,North Darfur,0,SD02
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,North Kordofan,0,SD13
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,North Kordofan,0,SD13
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,North Kordofan,0,SD13
East Darfur,SD05,132146,660830,660830,0,2024,Jan,North Kordofan,3910,SD13
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,North Kordofan,0,SD13
Kassala,SD11,33272,166228,162358,3870,2024,Jan,North Kordofan,0,SD13
Khartoum,SD01,8942,44769,44534,235,2024,Jan,North Kordofan,0,SD13
North Darfur,SD02,91975,460188,460140,48,2024,Jan,North Kordofan,275,SD13
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,North Kordofan,18805,SD13
Northern,SD17,80009,402675,401944,731,2024,Jan,North Kordofan,0,SD13
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,North Kordofan,4960,SD13
River Nile,SD16,139267,700827,700367,460,2024,Jan,North Kordofan,25,SD13
Sennar,SD14,86848,434627,434627,0,2024,Jan,North Kordofan,0,SD13
South Darfur,SD03,140623,703118,703118,0,2024,Jan,North Kordofan,0,SD13
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,North Kordofan,4700,SD13
West Darfur,SD04,25708,128540,128540,0,2024,Jan,North Kordofan,0,SD13
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,North Kordofan,9769,SD13
White Nile,SD09,100115,503264,412788,90476,2024,Jan,North Kordofan,246,SD13
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,Sennar,0,SD14
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,Sennar,0,SD14
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,Sennar,0,SD14
East Darfur,SD05,132146,660830,660830,0,2024,Jan,Sennar,0,SD14
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,Sennar,0,SD14
Kassala,SD11,33272,166228,162358,3870,2024,Jan,Sennar,0,SD14
Khartoum,SD01,8942,44769,44534,235,2024,Jan,Sennar,0,SD14
North Darfur,SD02,91975,460188,460140,48,2024,Jan,Sennar,0,SD14
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,Sennar,210,SD14
Northern,SD17,80009,402675,401944,731,2024,Jan,Sennar,303,SD14
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,Sennar,1955,SD14
River Nile,SD16,139267,700827,700367,460,2024,Jan,Sennar,15,SD14
Sennar,SD14,86848,434627,434627,0,2024,Jan,Sennar,12754,SD14
South Darfur,SD03,140623,703118,703118,0,2024,Jan,Sennar,0,SD14
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,Sennar,0,SD14
West Darfur,SD04,25708,128540,128540,0,2024,Jan,Sennar,0,SD14
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,Sennar,0,SD14
White Nile,SD09,100115,503264,412788,90476,2024,Jan,Sennar,55,SD14
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,South Darfur,0,SD03
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,South Darfur,0,SD03
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,South Darfur,16655,SD03
East Darfur,SD05,132146,660830,660830,0,2024,Jan,South Darfur,210105,SD03
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,South Darfur,55,SD03
Kassala,SD11,33272,166228,162358,3870,2024,Jan,South Darfur,0,SD03
Khartoum,SD01,8942,44769,44534,235,2024,Jan,South Darfur,0,SD03
North Darfur,SD02,91975,460188,460140,48,2024,Jan,South Darfur,34057,SD03
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,South Darfur,0,SD03
Northern,SD17,80009,402675,401944,731,2024,Jan,South Darfur,0,SD03
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,South Darfur,3223,SD03
River Nile,SD16,139267,700827,700367,460,2024,Jan,South Darfur,0,SD03
Sennar,SD14,86848,434627,434627,0,2024,Jan,South Darfur,0,SD03
South Darfur,SD03,140623,703118,703118,0,2024,Jan,South Darfur,664858,SD03
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,South Darfur,0,SD03
West Darfur,SD04,25708,128540,128540,0,2024,Jan,South Darfur,6895,SD03
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,South Darfur,586,SD03
White Nile,SD09,100115,503264,412788,90476,2024,Jan,South Darfur,0,SD03
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,South Kordofan,0,SD07
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,South Kordofan,0,SD07
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,South Kordofan,0,SD07
East Darfur,SD05,132146,660830,660830,0,2024,Jan,South Kordofan,0,SD07
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,South Kordofan,0,SD07
Kassala,SD11,33272,166228,162358,3870,2024,Jan,South Kordofan,0,SD07
Khartoum,SD01,8942,44769,44534,235,2024,Jan,South Kordofan,0,SD07
North Darfur,SD02,91975,460188,460140,48,2024,Jan,South Kordofan,0,SD07
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,South Kordofan,2580,SD07
Northern,SD17,80009,402675,401944,731,2024,Jan,South Kordofan,0,SD07
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,South Kordofan,3210,SD07
River Nile,SD16,139267,700827,700367,460,2024,Jan,South Kordofan,0,SD07
Sennar,SD14,86848,434627,434627,0,2024,Jan,South Kordofan,0,SD07
South Darfur,SD03,140623,703118,703118,0,2024,Jan,South Kordofan,0,SD07
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,South Kordofan,54932,SD07
West Darfur,SD04,25708,128540,128540,0,2024,Jan,South Kordofan,0,SD07
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,South Kordofan,2413,SD07
White Nile,SD09,100115,503264,412788,90476,2024,Jan,South Kordofan,0,SD07
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,West Darfur,0,SD04
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,West Darfur,0,SD04
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,West Darfur,54750,SD04
East Darfur,SD05,132146,660830,660830,0,2024,Jan,West Darfur,0,SD04
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,West Darfur,0,SD04
Kassala,SD11,33272,166228,162358,3870,2024,Jan,West Darfur,0,SD04
Khartoum,SD01,8942,44769,44534,235,2024,Jan,West Darfur,0,SD04
North Darfur,SD02,91975,460188,460140,48,2024,Jan,West Darfur,12940,SD04
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,West Darfur,0,SD04
Northern,SD17,80009,402675,401944,731,2024,Jan,West Darfur,0,SD04
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,West Darfur,377,SD04
River Nile,SD16,139267,700827,700367,460,2024,Jan,West Darfur,0,SD04
Sennar,SD14,86848,434627,434627,0,2024,Jan,West Darfur,0,SD04
South Darfur,SD03,140623,703118,703118,0,2024,Jan,West Darfur,4600,SD04
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,West Darfur,0,SD04
West Darfur,SD04,25708,128540,128540,0,2024,Jan,West Darfur,115820,SD04
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,West Darfur,10,SD04
White Nile,SD09,100115,503264,412788,90476,2024,Jan,West Darfur,0,SD04
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,West Kordofan,0,SD18
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,West Kordofan,0,SD18
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,West Kordofan,0,SD18
East Darfur,SD05,132146,660830,660830,0,2024,Jan,West Kordofan,250,SD18
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,West Kordofan,0,SD18
Kassala,SD11,33272,166228,162358,3870,2024,Jan,West Kordofan,0,SD18
Khartoum,SD01,8942,44769,44534,235,2024,Jan,West Kordofan,0,SD18
North Darfur,SD02,91975,460188,460140,48,2024,Jan,West Kordofan,0,SD18
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,West Kordofan,365,SD18
Northern,SD17,80009,402675,401944,731,2024,Jan,West Kordofan,0,SD18
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,West Kordofan,0,SD18
River Nile,SD16,139267,700827,700367,460,2024,Jan,West Kordofan,0,SD18
Sennar,SD14,86848,434627,434627,0,2024,Jan,West Kordofan,0,SD18
South Darfur,SD03,140623,703118,703118,0,2024,Jan,West Kordofan,0,SD18
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,West Kordofan,0,SD18
West Darfur,SD04,25708,128540,128540,0,2024,Jan,West Kordofan,0,SD18
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,West Kordofan,21204,SD18
White Nile,SD09,100115,503264,412788,90476,2024,Jan,West Kordofan,0,SD18
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,White Nile,1232,SD09
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,White Nile,0,SD09
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,White Nile,0,SD09
East Darfur,SD05,132146,660830,660830,0,2024,Jan,White Nile,0,SD09
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,White Nile,0,SD09
Kassala,SD11,33272,166228,162358,3870,2024,Jan,White Nile,0,SD09
Khartoum,SD01,8942,44769,44534,235,2024,Jan,White Nile,0,SD09
North Darfur,SD02,91975,460188,460140,48,2024,Jan,White Nile,0,SD09
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,White Nile,125,SD09
Northern,SD17,80009,402675,401944,731,2024,Jan,White Nile,0,SD09
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,White Nile,720,SD09
River Nile,SD16,139267,700827,700367,460,2024,Jan,White Nile,0,SD09
Sennar,SD14,86848,434627,434627,0,2024,Jan,White Nile,0,SD09
South Darfur,SD03,140623,703118,703118,0,2024,Jan,White Nile,0,SD09
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,White Nile,109,SD09
West Darfur,SD04,25708,128540,128540,0,2024,Jan,White Nile,0,SD09
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,White Nile,0,SD09
White Nile,SD09,100115,503264,412788,90476,2024,Jan,White Nile,5904,SD09
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,Aj Jazirah,165460,SD15
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,Aj Jazirah,10000,SD15
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,Aj Jazirah,0,SD15
East Darfur,SD05,658830,131746,658830,0,2023,Dec,Aj Jazirah,0,SD15
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,Aj Jazirah,31551,SD15
Kassala,SD11,150307,30058,144877,5430,2023,Dec,Aj Jazirah,10000,SD15
Khartoum,SD01,39503,7908,39273,230,2023,Dec,Aj Jazirah,0,SD15
North Darfur,SD02,454248,90778,454248,0,2023,Dec,Aj Jazirah,0,SD15
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,Aj Jazirah,0,SD15
Northern,SD17,378626,75690,377971,655,2023,Dec,Aj Jazirah,8000,SD15
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,Aj Jazirah,10035,SD15
River Nile,SD16,645644,128802,645124,520,2023,Dec,Aj Jazirah,7000,SD15
Sennar,SD14,408689,81640,408689,0,2023,Dec,Aj Jazirah,20000,SD15
South Darfur,SD03,694593,138917,694593,0,2023,Dec,Aj Jazirah,0,SD15
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,Aj Jazirah,0,SD15
West Darfur,SD04,123835,24767,123835,0,2023,Dec,Aj Jazirah,0,SD15
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,Aj Jazirah,0,SD15
White Nile,SD09,477041,94659,386140,90901,2023,Dec,Aj Jazirah,13750,SD15
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,Central Darfur,0,SD06
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,Central Darfur,0,SD06
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,Central Darfur,217540,SD06
East Darfur,SD05,658830,131746,658830,0,2023,Dec,Central Darfur,0,SD06
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,Central Darfur,0,SD06
Kassala,SD11,150307,30058,144877,5430,2023,Dec,Central Darfur,0,SD06
Khartoum,SD01,39503,7908,39273,230,2023,Dec,Central Darfur,0,SD06
North Darfur,SD02,454248,90778,454248,0,2023,Dec,Central Darfur,7900,SD06
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,Central Darfur,0,SD06
Northern,SD17,378626,75690,377971,655,2023,Dec,Central Darfur,0,SD06
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,Central Darfur,0,SD06
River Nile,SD16,645644,128802,645124,520,2023,Dec,Central Darfur,0,SD06
Sennar,SD14,408689,81640,408689,0,2023,Dec,Central Darfur,0,SD06
South Darfur,SD03,694593,138917,694593,0,2023,Dec,Central Darfur,7365,SD06
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,Central Darfur,0,SD06
West Darfur,SD04,123835,24767,123835,0,2023,Dec,Central Darfur,3150,SD06
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,Central Darfur,0,SD06
White Nile,SD09,477041,94659,386140,90901,2023,Dec,Central Darfur,0,SD06
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,East Darfur,0,SD05
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,East Darfur,0,SD05
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,East Darfur,0,SD05
East Darfur,SD05,658830,131746,658830,0,2023,Dec,East Darfur,73110,SD05
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,East Darfur,0,SD05
Kassala,SD11,150307,30058,144877,5430,2023,Dec,East Darfur,0,SD05
Khartoum,SD01,39503,7908,39273,230,2023,Dec,East Darfur,0,SD05
North Darfur,SD02,454248,90778,454248,0,2023,Dec,East Darfur,30,SD05
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,East Darfur,0,SD05
Northern,SD17,378626,75690,377971,655,2023,Dec,East Darfur,0,SD05
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,East Darfur,0,SD05
River Nile,SD16,645644,128802,645124,520,2023,Dec,East Darfur,0,SD05
Sennar,SD14,408689,81640,408689,0,2023,Dec,East Darfur,0,SD05
South Darfur,SD03,694593,138917,694593,0,2023,Dec,East Darfur,0,SD05
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,East Darfur,0,SD05
West Darfur,SD04,123835,24767,123835,0,2023,Dec,East Darfur,160,SD05
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,East Darfur,5,SD05
White Nile,SD09,477041,94659,386140,90901,2023,Dec,East Darfur,0,SD05
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,Khartoum,337584,SD01
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,Khartoum,76230,SD01
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,Khartoum,1205,SD01
East Darfur,SD05,658830,131746,658830,0,2023,Dec,Khartoum,358480,SD01
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,Khartoum,320416,SD01
Kassala,SD11,150307,30058,144877,5430,2023,Dec,Khartoum,140307,SD01
Khartoum,SD01,39503,7908,39273,230,2023,Dec,Khartoum,39503,SD01
North Darfur,SD02,454248,90778,454248,0,2023,Dec,Khartoum,8630,SD01
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,Khartoum,119400,SD01
Northern,SD17,378626,75690,377971,655,2023,Dec,Khartoum,370626,SD01
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,Khartoum,157915,SD01
River Nile,SD16,645644,128802,645124,520,2023,Dec,Khartoum,638644,SD01
Sennar,SD14,408689,81640,408689,0,2023,Dec,Khartoum,388689,SD01
South Darfur,SD03,694593,138917,694593,0,2023,Dec,Khartoum,15625,SD01
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,Khartoum,66967,SD01
West Darfur,SD04,123835,24767,123835,0,2023,Dec,Khartoum,1599,SD01
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,Khartoum,64822,SD01
White Nile,SD09,477041,94659,386140,90901,2023,Dec,Khartoum,462206,SD01
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,North Darfur,0,SD02
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,North Darfur,0,SD02
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,North Darfur,70785,SD02
East Darfur,SD05,658830,131746,658830,0,2023,Dec,North Darfur,13900,SD02
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,North Darfur,75,SD02
Kassala,SD11,150307,30058,144877,5430,2023,Dec,North Darfur,0,SD02
Khartoum,SD01,39503,7908,39273,230,2023,Dec,North Darfur,0,SD02
North Darfur,SD02,454248,90778,454248,0,2023,Dec,North Darfur,391706,SD02
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,North Darfur,0,SD02
Northern,SD17,378626,75690,377971,655,2023,Dec,North Darfur,0,SD02
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,North Darfur,4440,SD02
River Nile,SD16,645644,128802,645124,520,2023,Dec,North Darfur,0,SD02
Sennar,SD14,408689,81640,408689,0,2023,Dec,North Darfur,0,SD02
South Darfur,SD03,694593,138917,694593,0,2023,Dec,North Darfur,10080,SD02
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,North Darfur,0,SD02
West Darfur,SD04,123835,24767,123835,0,2023,Dec,North Darfur,311,SD02
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,North Darfur,823,SD02
White Nile,SD09,477041,94659,386140,90901,2023,Dec,North Darfur,0,SD02
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,North Kordofan,0,SD13
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,North Kordofan,0,SD13
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,North Kordofan,0,SD13
East Darfur,SD05,658830,131746,658830,0,2023,Dec,North Kordofan,3910,SD13
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,North Kordofan,0,SD13
Kassala,SD11,150307,30058,144877,5430,2023,Dec,North Kordofan,0,SD13
Khartoum,SD01,39503,7908,39273,230,2023,Dec,North Kordofan,0,SD13
North Darfur,SD02,454248,90778,454248,0,2023,Dec,North Kordofan,180,SD13
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,North Kordofan,14280,SD13
Northern,SD17,378626,75690,377971,655,2023,Dec,North Kordofan,0,SD13
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,North Kordofan,4405,SD13
River Nile,SD16,645644,128802,645124,520,2023,Dec,North Kordofan,0,SD13
Sennar,SD14,408689,81640,408689,0,2023,Dec,North Kordofan,0,SD13
South Darfur,SD03,694593,138917,694593,0,2023,Dec,North Kordofan,0,SD13
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,North Kordofan,3785,SD13
West Darfur,SD04,123835,24767,123835,0,2023,Dec,North Kordofan,0,SD13
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,North Kordofan,9522,SD13
White Nile,SD09,477041,94659,386140,90901,2023,Dec,North Kordofan,0,SD13
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,South Darfur,0,SD03
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,South Darfur,0,SD03
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,South Darfur,16105,SD03
East Darfur,SD05,658830,131746,658830,0,2023,Dec,South Darfur,209180,SD03
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,South Darfur,55,SD03
Kassala,SD11,150307,30058,144877,5430,2023,Dec,South Darfur,0,SD03
Khartoum,SD01,39503,7908,39273,230,2023,Dec,South Darfur,0,SD03
North Darfur,SD02,454248,90778,454248,0,2023,Dec,South Darfur,33347,SD03
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,South Darfur,0,SD03
Northern,SD17,378626,75690,377971,655,2023,Dec,South Darfur,0,SD03
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,South Darfur,2653,SD03
River Nile,SD16,645644,128802,645124,520,2023,Dec,South Darfur,0,SD03
Sennar,SD14,408689,81640,408689,0,2023,Dec,South Darfur,0,SD03
South Darfur,SD03,694593,138917,694593,0,2023,Dec,South Darfur,657173,SD03
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,South Darfur,0,SD03
West Darfur,SD04,123835,24767,123835,0,2023,Dec,South Darfur,3770,SD03
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,South Darfur,496,SD03
White Nile,SD09,477041,94659,386140,90901,2023,Dec,South Darfur,0,SD03
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,South Kordofan,0,SD07
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,South Kordofan,0,SD07
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,South Kordofan,0,SD07
East Darfur,SD05,658830,131746,658830,0,2023,Dec,South Kordofan,0,SD07
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,South Kordofan,0,SD07
Kassala,SD11,150307,30058,144877,5430,2023,Dec,South Kordofan,0,SD07
Khartoum,SD01,39503,7908,39273,230,2023,Dec,South Kordofan,0,SD07
North Darfur,SD02,454248,90778,454248,0,2023,Dec,South Kordofan,0,SD07
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,South Kordofan,1770,SD07
Northern,SD17,378626,75690,377971,655,2023,Dec,South Kordofan,0,SD07
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,South Kordofan,2725,SD07
River Nile,SD16,645644,128802,645124,520,2023,Dec,South Kordofan,0,SD07
Sennar,SD14,408689,81640,408689,0,2023,Dec,South Kordofan,0,SD07
South Darfur,SD03,694593,138917,694593,0,2023,Dec,South Kordofan,0,SD07
